name,url,category,pricing,short_description,target_users,verify_status
Betterment,https://www.betterment.com,Wealth Management,Freemium,"Automated investing and robo-advisory with tax-smart features.",Retail investors,pending
Wealthfront,https://www.wealthfront.com,Wealth Management,Paid,"Robo-advisor with automated portfolios, tax-loss harvesting and cash accounts.",Retail investors,pending
Magnifi,https://magnifi.com,Wealth Management,Paid,"Conversational AI investing assistant for fund discovery and portfolio checkups.",Retail investors,pending
PortfolioPilot,https://portfoliopilot.com,Wealth Management,Freemium,"AI financial advisor giving portfolio scores and personalized recommendations.",Self-directed investors,pending
Range,https://www.range.com,Wealth Management,Paid,"AI-powered wealth management platform for high earners.",HNW individuals,pending
Datarails,https://www.datarails.com,FP&A & Accounting,Enterprise,"FP&A platform with AI insights on top of Excel workflows.",CFO / FP&A teams,pending
Cube,https://www.cubesoftware.com,FP&A & Accounting,Enterprise,"Spreadsheet-native FP&A software with AI-assisted planning.",FP&A teams,pending
Vena,https://www.venasolutions.com,FP&A & Accounting,Enterprise,"Excel-based planning platform with Vena Copilot AI.",FP&A teams,pending
Ramp,https://ramp.com,FP&A & Accounting,Freemium,"Corporate cards and spend management with AI expense automation.",Finance teams,pending
Brex,https://www.brex.com,FP&A & Accounting,Freemium,"Corporate card and spend platform with AI assistants.",Startups / enterprises,pending
AppZen,https://www.appzen.com,FP&A & Accounting,Enterprise,"AI auditing of expenses and AP invoices.",Finance operations,pending
Vic.ai,https://www.vic.ai,FP&A & Accounting,Enterprise,"Autonomous AP invoice processing with AI.",Accounting teams,pending
MindBridge,https://www.mindbridge.ai,FP&A & Accounting,Enterprise,"AI risk discovery for audit, detecting anomalies in full ledgers.",Auditors,pending
DataSnipper,https://www.datasnipper.com,FP&A & Accounting,Paid,"Intelligent automation inside Excel for audit and finance documentation.",Auditors / accountants,pending
Trullion,https://trullion.com,FP&A & Accounting,Enterprise,"AI accounting workflows: lease accounting, revrec, audit.",Accountants / auditors,pending
Digits,https://digits.com,FP&A & Accounting,Paid,"AI-native accounting and bookkeeping for startups.",Founders / accountants,pending
Botkeeper,https://www.botkeeper.com,FP&A & Accounting,Enterprise,"Automated bookkeeping for accounting firms using ML.",Accounting firms,pending
Klarity,https://www.klarity.ai,FP&A & Accounting,Enterprise,"AI document review for revenue accounting and compliance.",Accounting teams,pending
Stripe Radar,https://stripe.com/radar,Payments,Usage-based,"ML fraud prevention built into Stripe's payment network.",Online businesses,pending
Plaid,https://plaid.com,Payments,Usage-based,"Bank data connectivity APIs with AI-powered insights and risk products.",Fintech developers,pending
Kasisto,https://kasisto.com,Customer Service,Enterprise,"KAI conversational AI platform purpose-built for banking.",Banks,pending
Interface.ai,https://interface.ai,Customer Service,Enterprise,"AI voice and chat agents for banks and credit unions.",Banks / credit unions,pending
Posh AI,https://www.posh.ai,Customer Service,Enterprise,"Conversational AI assistants for community banks.",Banks / credit unions,pending
Cleo,https://web.meetcleo.com,Personal Finance,Freemium,"AI money assistant with budgeting, credit building and humor.",Gen-Z consumers,pending
Monarch Money,https://www.monarchmoney.com,Personal Finance,Paid,"Household finance tracking with AI-assisted insights.",Consumers / families,pending
Rocket Money,https://www.rocketmoney.com,Personal Finance,Freemium,"Subscription cancellation, budgeting and bill negotiation with AI.",Consumers,pending
Origin,https://www.useorigin.com,Personal Finance,Paid,"All-in-one money app: planning, investing, taxes with AI advisor.",Professionals,pending
Copilot Money,https://copilot.money,Personal Finance,Paid,"AI-powered personal finance tracker for Apple ecosystem.",Consumers,pending
Koyfin,https://www.koyfin.com,Research & Analysis,Freemium,"Market data and analytics terminal with AI-assisted charting and screening.",Investors / advisors,pending
Bigdata.com (RavenPack),https://www.bigdata.com,Research & Analysis,Paid,"AI research workflows on top of RavenPack's news analytics and alternative data.",Quant / institutional researchers,pending
Boosted.ai,https://www.boosted.ai,Research & Analysis,Enterprise,"Machine learning platform (Boosted Insights) for portfolio managers and analysts.",Asset managers,pending
Reflexivity,https://www.reflexivity.com,Research & Analysis,Enterprise,"AI-powered visual reasoning and knowledge graph for institutional investors.",Hedge funds / PMs,pending
Accern,https://accern.com,Research & Analysis,Enterprise,"No-code NLP platform extracting signals from financial text at scale.",Banks / asset managers,pending
Auquan,https://www.auquan.com,Research & Analysis,Enterprise,"AI agents automating deep work for financial services: risk briefs, DDQs, monitoring.",Asset managers / banks,pending
Finster AI,https://www.finster.ai,Research & Analysis,Enterprise,"AI agent for institutional-grade company research and financial workflows.",IB / asset managers,pending
TrendSpider,https://trendspider.com,Trading & Quant,Paid,"Automated technical analysis platform with AI pattern recognition and backtesting.",Active traders,pending
Alpaca,https://alpaca.markets,Trading & Quant,Usage-based,"Developer-first stock and crypto trading API with algorithmic trading support.",Developers / fintechs,pending
LuxAlgo,https://www.luxalgo.com,Trading & Quant,Freemium,"AI-enhanced trading indicators and screeners on TradingView.",Retail traders,pending
QuantRocket,https://www.quantrocket.com,Trading & Quant,Paid,"Python-based platform for researching and running algorithmic trading strategies.",Quant developers,pending
Quantifind,https://www.quantifind.com,Risk & Compliance,Enterprise,"AI risk intelligence for AML investigations and sanctions screening.",Banks / fincrime teams,pending
Lucinity,https://lucinity.com,Risk & Compliance,Enterprise,"AI copilot (Luci) for financial crime investigations and case management.",Compliance teams,pending
Flagright,https://www.flagright.com,Risk & Compliance,Paid,"AI-native transaction monitoring and AML compliance for fintechs.",Fintech risk teams,pending
Alloy,https://www.alloy.com,Risk & Compliance,Enterprise,"Identity decisioning platform orchestrating KYC, fraud and credit risk data.",Banks / fintechs,pending
Socure,https://www.socure.com,Risk & Compliance,Enterprise,"AI identity verification and fraud prediction platform.",Fintechs / agencies,pending
SymphonyAI Sensa,https://www.symphonyai.com/financial-services/,Risk & Compliance,Enterprise,"AI financial crime detection suite for banks (Sensa-NetReveal).",Banks,pending
Resistant AI,https://resistant.ai,Risk & Compliance,Enterprise,"Document forgery detection and transaction protection using AI.",Fintechs / lenders,pending
Hawk,https://hawk.ai,Risk & Compliance,Enterprise,"AI-powered AML transaction monitoring and fraud prevention.",Banks / PSPs,pending
Chainalysis,https://www.chainalysis.com,Risk & Compliance,Enterprise,"Blockchain intelligence and crypto AML/compliance analytics.",Exchanges / regulators / banks,pending
TRM Labs,https://www.trmlabs.com,Risk & Compliance,Enterprise,"Blockchain intelligence for crypto fraud and financial crime detection.",Compliance / law enforcement,pending
Elliptic,https://www.elliptic.co,Risk & Compliance,Enterprise,"Crypto asset risk management and blockchain analytics.",Banks / exchanges,pending
Sift,https://sift.com,Risk & Compliance,Enterprise,"AI fraud decisioning platform for payments and account abuse.",E-commerce / fintechs,pending
Forter,https://www.forter.com,Risk & Compliance,Enterprise,"Real-time e-commerce fraud prevention with identity intelligence.",Merchants / PSPs,pending
Taktile,https://www.taktile.com,Credit & Lending,Enterprise,"Decision platform for building and testing credit risk workflows with AI.",Lenders / fintechs,pending
Pagaya,https://pagaya.com,Credit & Lending,Enterprise,"AI network expanding credit access via lender partnerships and ABS funding.",Lenders / institutions,pending
Oscilar,https://oscilar.com,Credit & Lending,Enterprise,"AI risk decisioning for credit, fraud and compliance without code.",Fintech risk teams,pending
Vise,https://vise.com,Wealth Management,Enterprise,"AI-driven personalized portfolio management for financial advisors.",RIAs / advisors,pending
TIFIN,https://tifin.com,Wealth Management,Enterprise,"AI platform ecosystem for wealth: distribution, advice and engagement.",Wealth firms,pending
FP Alpha,https://fpalpha.com,Wealth Management,Paid,"AI extracts planning insights from tax returns, wills and insurance docs.",Financial planners,pending
Holistiplan,https://www.holistiplan.com,Wealth Management,Paid,"Tax return OCR and planning scenario software for advisors.",Financial planners,pending
Zocks,https://www.zocks.io,Wealth Management,Paid,"AI meeting assistant turning client conversations into notes and tasks for advisors.",Financial advisors,pending
Jump,https://jumpapp.com,Wealth Management,Paid,"AI assistant automating advisor meeting prep, notes and compliance documentation.",Financial advisors,pending
Powder,https://powderfi.com,Wealth Management,Enterprise,"AI agents for wealth firms: prospecting docs, portfolio extraction, proposals.",RIAs / wealth firms,pending
Runway,https://runway.com,FP&A & Accounting,Paid,"Modern business planning platform with AI scenario modeling.",Startups / finance teams,pending
Abacum,https://www.abacum.ai,FP&A & Accounting,Enterprise,"FP&A platform with AI insights for mid-market finance teams.",FP&A teams,pending
Aleph,https://www.getaleph.com,FP&A & Accounting,Enterprise,"AI-powered FP&A connecting live data to spreadsheets and models.",Finance teams,pending
Numeric,https://www.numeric.io,FP&A & Accounting,Paid,"AI-assisted accounting close management and flux analysis.",Accounting teams,pending
Basis,https://www.getbasis.ai,FP&A & Accounting,Enterprise,"AI agents that execute accounting workflows end to end.",Accounting firms,pending
Truewind,https://www.truewind.ai,FP&A & Accounting,Paid,"AI bookkeeping and finance back office for startups.",Startups,pending
Fieldguide,https://www.fieldguide.io,FP&A & Accounting,Enterprise,"AI platform for audit and advisory engagements at CPA firms.",Audit firms,pending
Concourse,https://www.concourse.co,FP&A & Accounting,Enterprise,"AI agents for corporate finance teams: analysis, reporting, Q&A.",Finance teams,pending
Lemonade,https://www.lemonade.com,Insurance,Freemium,"AI-native insurer using bots (Maya/Jim) for instant quotes and claims.",Consumers,pending
Tractable,https://tractable.ai,Insurance,Enterprise,"Computer vision AI assessing vehicle and property damage for claims.",Insurers,pending
Shift Technology,https://www.shift-technology.com,Insurance,Enterprise,"AI decisioning for insurance fraud detection, claims and underwriting.",Insurers,pending
Cytora,https://cytora.com,Insurance,Enterprise,"Digital risk processing platform for commercial insurance underwriting.",Commercial insurers,pending
Sixfold,https://www.sixfold.ai,Insurance,Enterprise,"Generative AI risk analysis purpose-built for insurance underwriters.",Underwriters,pending
Federato,https://www.federato.ai,Insurance,Enterprise,"RiskOps platform optimizing underwriting portfolios with AI.",P&C insurers,pending
Gradient AI,https://www.gradientai.com,Insurance,Enterprise,"AI underwriting and claims analytics for group health and P&C.",Insurers,pending
April,https://www.getapril.com,Tax,Enterprise,"Embedded AI-powered tax filing and planning APIs.",Fintechs / employers,pending
Blue J,https://www.bluej.com,Tax,Paid,"Generative AI tax research delivering cited answers from authoritative sources.",Tax professionals,pending
Black Ore,https://www.blackore.com,Tax,Enterprise,"AI automation for tax preparation at CPA firms (Tax Autopilot).",CPA firms,pending
TaxGPT,https://www.taxgpt.com,Tax,Paid,"AI tax copilot answering questions and drafting memos for professionals.",Tax pros / firms,pending
Ocrolus,https://www.ocrolus.com,Document Intelligence,Enterprise,"AI document analysis for lending: bank statements, paystubs, tax forms.",Lenders,pending
Instabase,https://www.instabase.com,Document Intelligence,Enterprise,"AI hub for unstructured document understanding in regulated industries.",Banks / insurers,pending
Eigen Technologies,https://www.eigentech.com,Document Intelligence,Enterprise,"No-code document AI extracting data from contracts and financial docs.",Banks / asset managers,pending
Trovata,https://trovata.io,Treasury,Enterprise,"Automated cash management and forecasting platform with AI.",Corporate treasury,pending
Nilus,https://www.nilus.com,Treasury,Paid,"AI-powered treasury and cash management for mid-market finance.",Treasury / CFO,pending
Kyriba,https://www.kyriba.com,Treasury,Enterprise,"Enterprise liquidity platform with AI cash forecasting modules.",Corporate treasury,pending
Glia,https://www.glia.com,Customer Service,Enterprise,"Unified interaction platform with AI for banks and credit unions.",Banks / credit unions,pending
Eltropy,https://eltropy.com,Customer Service,Enterprise,"AI-powered digital conversations platform for community financial institutions.",Credit unions / banks,pending
Albert,https://albert.com,Personal Finance,Paid,"All-in-one money app with automated budgeting, saving and investing.",Consumers,pending
Bright Money,https://www.brightmoney.co,Personal Finance,Paid,"AI system building personalized plans to pay down credit card debt.",Consumers,pending
Public,https://public.com,Investing Apps,Freemium,"Investing app with AI assistant (Alpha) for stocks, bonds and market context.",Retail investors,pending
Moomoo,https://www.moomoo.com,Investing Apps,Freemium,"Trading app with AI-driven analytics and market data tools.",Active retail traders,pending
Stockopedia,https://www.stockopedia.com,Investing Apps,Paid,"Quantitative stock ranking and screening for individual investors.",Retail investors,pending
Bloomberg GPT,https://www.bloomberg.com/company/press/bloomberggpt-50-billion-parameter-llm-tuned-finance/,Research & Analysis,Enterprise,"Bloomberg's finance-tuned large language model embedded across the Terminal.",Institutional users,pending
AlphaResearch,https://www.alpha-research.io,Research & Analysis,Freemium,"AI search engine for company filings, transcripts and global financial documents.",Analysts,pending
Bardeen,https://www.bardeen.ai,Automation,Freemium,"AI automation for finance workflows: data pulls, reporting and CRM updates.",Finance ops,pending
Nanonets,https://nanonets.com,Document Intelligence,Paid,"AI workflows for invoice, receipt and financial document data extraction.",Finance teams,pending
Rossum,https://rossum.ai,Document Intelligence,Enterprise,"AI document gateway for accounts payable and transactional documents.",AP teams,pending
HighRadius,https://www.highradius.com,Treasury,Enterprise,"AI-powered order-to-cash, treasury and record-to-report automation.",Large enterprises,pending
Tesorio,https://www.tesorio.com,Treasury,Enterprise,"AI cash flow forecasting and accounts receivable management.",Finance teams,pending
Centime,https://www.centime.com,Treasury,Paid,"AI cash management connecting AR, AP and forecasting for SMBs.",SMB finance,pending
Ledge,https://www.ledge.co,FP&A & Accounting,Enterprise,"AI finance operations platform automating reconciliation and cash workflows.",Finance ops,pending
Puzzle,https://puzzle.io,FP&A & Accounting,Paid,"AI-native accounting software giving startups real-time financials.",Startups,pending
Bilanc,https://www.bilanc.com,FP&A & Accounting,Enterprise,"AI finance copilot for accounting and reporting tasks.",Finance teams,pending
Booke AI,https://booke.ai,FP&A & Accounting,Paid,"AI bookkeeping automation and client communication for accounting firms.",Bookkeepers,pending
Docyt,https://docyt.com,FP&A & Accounting,Paid,"AI accounting automation with real-time bookkeeping and reporting.",SMB finance,pending
Zeni,https://www.zeni.ai,FP&A & Accounting,Paid,"AI-powered bookkeeping, accounting and CFO services for startups.",Startups,pending
Pilot,https://pilot.com,FP&A & Accounting,Paid,"Bookkeeping and finance back office with AI-assisted workflows.",Startups,pending
Bench,https://www.bench.co,FP&A & Accounting,Paid,"Online bookkeeping service with software and human bookkeepers.",Small businesses,pending
Material Security,https://material.security,Risk & Compliance,Enterprise,"AI security for finance email and account takeover protection.",Finance / IT teams,pending
DataVisor,https://www.datavisor.com,Risk & Compliance,Enterprise,"AI fraud and risk platform with unsupervised machine learning.",Banks / fintechs,pending
Inscribe,https://www.inscribe.ai,Risk & Compliance,Enterprise,"AI document fraud detection and risk intelligence for lenders.",Lenders / fintechs,pending
Effectiv,https://www.effectiv.ai,Risk & Compliance,Enterprise,"AI risk decisioning unifying fraud, AML and compliance.",Banks / fintechs,pending
Cable,https://cable.tech,Risk & Compliance,Enterprise,"Automated control testing and assurance for compliance teams.",Compliance teams,pending
Norm Ai,https://www.norm.ai,Risk & Compliance,Enterprise,"AI regulatory agents translating rules into automated compliance checks.",Compliance / legal,pending
Greenwave (Themis),https://www.themis.com,Risk & Compliance,Enterprise,"Financial crime compliance platform with AI workflow tools.",Compliance teams,pending
Parcha,https://www.parcha.com,Risk & Compliance,Enterprise,"AI agents automating KYB, KYC and compliance operations.",Fintech compliance,pending
Casca,https://www.cascading.ai,Credit & Lending,Enterprise,"AI loan origination assistant automating SMB lending workflows.",Banks / lenders,pending
Kredmint,https://www.kredmint.com,Credit & Lending,Enterprise,"AI-driven embedded lending and credit infrastructure.",Fintechs,pending
Lendflow,https://lendflow.com,Credit & Lending,Enterprise,"Embedded lending infrastructure with AI credit decisioning.",Platforms / fintechs,pending
Coris,https://www.coris.ai,Risk & Compliance,Enterprise,"AI risk management for SMB-facing fintechs and platforms.",Fintech risk teams,pending
Quilt Labs,https://www.quilt.app,Insurance,Paid,"AI assistant for insurance agents handling quotes and servicing.",Insurance agents,pending
Indemn,https://www.indemn.ai,Insurance,Enterprise,"Conversational AI for insurance distribution and customer engagement.",Insurers / brokers,pending
Kyber,https://www.kyber.so,Insurance,Paid,"AI drafting of insurance claims correspondence and documents.",Claims teams,pending
Akur8,https://www.akur8.com,Insurance,Enterprise,"AI insurance pricing and reserving for actuaries.",Actuaries / insurers,pending
Planck,https://www.planckdata.com,Insurance,Enterprise,"AI data platform for commercial insurance underwriting insights.",Commercial underwriters,pending
Briefcase,https://www.briefcase.so,FP&A & Accounting,Paid,"AI accounting agent automating bookkeeping tasks for firms.",Accounting firms,pending
Stagger,https://www.taxgpt.com,Tax,Paid,"AI tax workflow automation for professional preparers.",Tax pros,pending
Keeper,https://keeper.tax,Tax,Freemium,"AI tax filing and write-off tracking app for freelancers.",Freelancers / consumers,pending
Column Tax,https://www.columntax.com,Tax,Enterprise,"Embedded tax filing APIs for fintech apps.",Fintechs,pending
